CLUESmallArea,BlockId,Usage,SumFloors2002,BuildingCount2002,SumFloors2021,BuildingCount2021,MostFloors2002,MostFloors2021
Parkville,913,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,913,Unoccupied - Unused,0,0,0,0
Parkville,913,Parking - Commercial Covered,0,0,0,0
Parkville,908,Student Accommodation,6.0,1,7.0,1,6,7
Parkville,908,Residential Apartment,8.0,1,8.0,1,8,8
Parkville,908,Office,2.0,1,0.0,0,2,0
Parkville,908,Unoccupied - Unused,0.0,0,0.0,0,0,0
Parkville,908,House/Townhouse,0,0,0,0
Parkville,908,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,908,Parking - Commercial Covered,0,0,0,0
Parkville,919,Hospital/Clinic,6.0,1,14.0,1,6,14
Parkville,919,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
Parkville,919,Unoccupied - Unused,0.0,0,0.0,0,0,0
Parkville,919,House/Townhouse,0,0,0,0
Parkville,919,Office,0,0,0,0
Parkville,919,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,919,Parking - Commercial Covered,0,0,0,0
Parkville,906,Educational/Research,6.0,1,5.0,1,6,5
Parkville,906,Residential Apartment,6.0,3,6.0,3,2,2
Parkville,906,Office,14.0,2,14.0,2,12,12
Parkville,906,Student Accommodation,14.0,2,6.0,1,11,6
Parkville,906,Unoccupied - Unused,0.0,0,12.0,1,0,12
Parkville,906,House/Townhouse,1.0,1,0.0,0,1,0
Parkville,906,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
Parkville,906,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,906,Parking - Commercial Covered,0,0,0,0
Parkville,920,Hospital/Clinic,11.0,1,19.0,2,11,11
Parkville,920,House/Townhouse,0,0,0,0
Parkville,920,Office,0,0,0,0
Parkville,920,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,920,Unoccupied - Unused,0,0,0,0
Parkville,920,Parking - Commercial Covered,0,0,0,0
Parkville,909,House/Townhouse,0.0,0,4.0,1,0,4
Parkville,909,Student Accommodation,0.0,0,2.0,1,0,2
Parkville,909,Office,1.0,1,0.0,0,1,0
Parkville,909,"Performances, Conferences, Ceremonies",1.0,1,1.0,1,1,1
Parkville,909,Educational/Research,2.0,1,0.0,0,2,0
Parkville,909,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
Parkville,909,Unoccupied - Unused,0.0,0,0.0,0,0,0
Parkville,909,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,909,Parking - Commercial Covered,0,0,0,0
Parkville,930,Educational/Research,6.0,1,6.0,1,6,6
Parkville,930,Hospital/Clinic,2.0,1,3.0,1,2,3
Parkville,930,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
Parkville,930,House/Townhouse,0,0,0,0
Parkville,930,Office,0,0,0,0
Parkville,930,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,930,Unoccupied - Unused,0,0,0,0
Parkville,930,Parking - Commercial Covered,0,0,0,0
Parkville,271,Student Accommodation,21.0,7,30.0,7,7,7
Parkville,271,House/Townhouse,0,0,0,0
Parkville,271,Office,0,0,0,0
Parkville,271,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,271,Unoccupied - Unused,0,0,0,0
Parkville,271,Parking - Commercial Covered,0,0,0,0
Parkville,272,Student Accommodation,3.0,1,3.0,1,3,3
Parkville,272,House/Townhouse,0,0,0,0
Parkville,272,Office,0,0,0,0
Parkville,272,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,272,Unoccupied - Unused,0,0,0,0
Parkville,272,Parking - Commercial Covered,0,0,0,0
East Melbourne,656,House/Townhouse,44.0,27,81.0,39,2,4
East Melbourne,656,Office,57.0,21,37.0,14,6,6
East Melbourne,656,Equipment Installation,0.0,0,1.0,1,0,1
East Melbourne,656,Unoccupied - Under Renovation,1.0,1,0.0,0,1,0
East Melbourne,656,Residential Apartment,34.0,9,57.0,13,8,8
East Melbourne,656,Unoccupied - Unused,9.0,6,16.0,6,2,4
East Melbourne,656,Commercial Accommodation,10.0,2,7.0,1,7,7
East Melbourne,656,Community Use,0.0,0,5.0,1,0,5
East Melbourne,656,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0,0,0
East Melbourne,656,Storage,0.0,0,0.0,0,0,0
East Melbourne,656,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
East Melbourne,656,Parking - Private Covered,5.0,3,0.0,0,2,0
East Melbourne,656,Hospital/Clinic,2.0,1,0.0,0,2,0
East Melbourne,656,Entertainment/Recreation - Indoor,1.0,1,0.0,0,1,0
East Melbourne,656,Parking - Commercial Covered,0,0,0,0
East Melbourne,609,Residential Apartment,17.0,7,19.0,8,4,4
East Melbourne,609,House/Townhouse,78.0,47,91.0,47,2,4
East Melbourne,609,Office,2.0,1,0.0,0,2,0
East Melbourne,609,Commercial Accommodation,2.0,1,0.0,0,2,0
East Melbourne,609,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,609,Unoccupied - Unused,0,0,0,0
East Melbourne,609,Parking - Commercial Covered,0,0,0,0
East Melbourne,612,House/Townhouse,66.0,44,76.0,45,2,3
East Melbourne,612,Residential Apartment,23.0,8,23.0,8,4,4
East Melbourne,612,Commercial Accommodation,6.0,2,7.0,2,3,4
East Melbourne,612,Hospital/Clinic,4.0,2,4.0,2,2,2
East Melbourne,612,Equipment Installation,0.0,0,0.0,0,0,0
East Melbourne,612,Unoccupied - Unused,0.0,0,2.0,1,0,2
East Melbourne,612,Unoccupied - Under Renovation,1.0,1,0.0,0,1,0
East Melbourne,612,Office,0,0,0,0
East Melbourne,612,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,612,Parking - Commercial Covered,0,0,0,0
East Melbourne,617,House/Townhouse,27.0,15,37.0,17,2,3
East Melbourne,617,Residential Apartment,50.0,13,42.0,9,13,13
East Melbourne,617,"Performances, Conferences, Ceremonies",1.0,1,1.0,1,1,1
East Melbourne,617,Commercial Accommodation,2.0,1,2.0,1,2,2
East Melbourne,617,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0,0,0
East Melbourne,617,Office,0,0,0,0
East Melbourne,617,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,617,Unoccupied - Unused,0,0,0,0
East Melbourne,617,Parking - Commercial Covered,0,0,0,0
East Melbourne,602,House/Townhouse,59.0,45,69.0,46,2,2
East Melbourne,602,Residential Apartment,13.0,5,15.0,6,3,3
East Melbourne,602,Hospital/Clinic,1.0,1,2.0,1,1,2
East Melbourne,602,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
East Melbourne,602,Unoccupied - Unused,0.0,0,0.0,0,0,0
East Melbourne,602,Office,2.0,1,0.0,0,2,0
East Melbourne,602,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,602,Parking - Commercial Covered,0,0,0,0
East Melbourne,646,Unoccupied - Under Renovation,3.0,1,1.0,1,3,1
